Tanggal,NO2,NO2_t-1,NO2_t-2,NO2_t-3
2023-01-13,2.5532952e-05,6.530125e-06,5.318101e-05,4.888619e-05
2023-01-14,3.4040328e-05,2.5532952e-05,6.530125e-06,5.318101e-05
2023-01-15,4.580525e-06,3.4040328e-05,2.5532952e-05,6.530125e-06
2023-05-07,2.3571407e-05,3.3414173e-05,1.8312074e-05,1.1472951e-05
2023-05-08,1.5639402e-05,2.3571407e-05,3.3414173e-05,1.8312074e-05
2023-05-15,2.4388997e-05,6.391637e-06,3.17103e-05,1.0079972e-05
2023-05-16,3.6433452e-05,2.4388997e-05,6.391637e-06,3.17103e-05
2023-05-17,1.8303499e-05,3.6433452e-05,2.4388997e-05,6.391637e-06
2023-05-18,1.2638443e-05,1.8303499e-05,3.6433452e-05,2.4388997e-05
2023-05-23,2.563797e-05,9.115847e-06,1.4349613e-05,3.4797504e-05
2023-05-24,1.5873877e-05,2.563797e-05,9.115847e-06,1.4349613e-05
2023-05-25,3.0558072e-05,1.5873877e-05,2.563797e-05,9.115847e-06
2023-05-26,2.9391595e-05,3.0558072e-05,1.5873877e-05,2.563797e-05
2023-05-27,2.3101844e-05,2.9391595e-05,3.0558072e-05,1.5873877e-05
2023-05-28,1.801391e-05,2.3101844e-05,2.9391595e-05,3.0558072e-05
2023-05-29,9.059782e-06,1.801391e-05,2.3101844e-05,2.9391595e-05
2023-05-30,1.6534086e-05,9.059782e-06,1.801391e-05,2.3101844e-05
2023-05-31,8.356284e-06,1.6534086e-05,9.059782e-06,1.801391e-05
2023-06-15,1.1796599e-05,3.2612897e-05,2.6965283e-05,1.4371748e-05
2023-06-16,1.3186495e-05,1.1796599e-05,3.2612897e-05,2.6965283e-05
2023-06-17,1.9296136e-05,1.3186495e-05,1.1796599e-05,3.2612897e-05
2023-06-22,2.8654793e-05,1.656481e-05,2.724137e-05,2.4340461e-05
2023-06-23,1.5249351e-05,2.8654793e-05,1.656481e-05,2.724137e-05
2023-06-24,2.3701996e-05,1.5249351e-05,2.8654793e-05,1.656481e-05
2023-06-25,2.7458405e-05,2.3701996e-05,1.5249351e-05,2.8654793e-05
2023-06-26,4.4841716e-05,2.7458405e-05,2.3701996e-05,1.5249351e-05
2023-06-27,1.952245e-05,4.4841716e-05,2.7458405e-05,2.3701996e-05
2023-06-28,2.7451724e-05,1.952245e-05,4.4841716e-05,2.7458405e-05
2023-06-29,2.0102112e-05,2.7451724e-05,1.952245e-05,4.4841716e-05
2023-06-30,1.0046642e-05,2.0102112e-05,2.7451724e-05,1.952245e-05
2023-07-01,2.3199782e-05,1.0046642e-05,2.0102112e-05,2.7451724e-05
2023-07-02,2.33674e-05,2.3199782e-05,1.0046642e-05,2.0102112e-05
2023-07-12,4.0545456e-05,8.269569e-06,2.033263e-05,1.1881479e-05
2023-07-17,2.7907216e-05,2.0338035e-05,4.1612897e-05,2.3472538e-05
2023-07-18,4.4762208e-05,2.7907216e-05,2.0338035e-05,4.1612897e-05
2023-07-19,2.2380682e-05,4.4762208e-05,2.7907216e-05,2.0338035e-05
2023-07-20,2.6609114e-05,2.2380682e-05,4.4762208e-05,2.7907216e-05
2023-07-21,2.4599683e-05,2.6609114e-05,2.2380682e-05,4.4762208e-05
2023-07-22,2.6457095e-05,2.4599683e-05,2.6609114e-05,2.2380682e-05
2023-07-23,1.2231813e-05,2.6457095e-05,2.4599683e-05,2.6609114e-05
2023-07-24,2.74977e-05,1.2231813e-05,2.6457095e-05,2.4599683e-05
2023-07-25,3.2808523e-05,2.74977e-05,1.2231813e-05,2.6457095e-05
2023-07-26,2.4451234e-05,3.2808523e-05,2.74977e-05,1.2231813e-05
2023-07-27,1.450629e-05,2.4451234e-05,3.2808523e-05,2.74977e-05
2023-07-28,1.09926705e-05,1.450629e-05,2.4451234e-05,3.2808523e-05
2023-07-29,3.0824645e-05,1.09926705e-05,1.450629e-05,2.4451234e-05
2023-07-30,2.605834e-05,3.0824645e-05,1.09926705e-05,1.450629e-05
2023-07-31,2.5807467e-05,2.605834e-05,3.0824645e-05,1.09926705e-05
2023-08-01,1.2797412e-05,2.5807467e-05,2.605834e-05,3.0824645e-05
2023-08-02,1.985776e-05,1.2797412e-05,2.5807467e-05,2.605834e-05
2023-08-03,1.898494e-05,1.985776e-05,1.2797412e-05,2.5807467e-05
2023-08-04,6.788576e-06,1.898494e-05,1.985776e-05,1.2797412e-05
2023-08-05,2.9319972e-05,6.788576e-06,1.898494e-05,1.985776e-05
2023-08-10,3.878638e-05,1.999905e-05,1.3938103e-05,-1.692505e-05
2023-08-11,2.9573052e-05,3.878638e-05,1.999905e-05,1.3938103e-05
2023-08-12,1.121757e-05,2.9573052e-05,3.878638e-05,1.999905e-05
2023-08-13,2.2139622e-05,1.121757e-05,2.9573052e-05,3.878638e-05
2023-08-14,3.13583e-05,2.2139622e-05,1.121757e-05,2.9573052e-05
2023-08-15,1.662485e-05,3.13583e-05,2.2139622e-05,1.121757e-05
2023-08-16,9.95213e-06,1.662485e-05,3.13583e-05,2.2139622e-05
2023-08-17,1.9926207e-05,9.95213e-06,1.662485e-05,3.13583e-05
2023-08-18,2.6080705e-05,1.9926207e-05,9.95213e-06,1.662485e-05
2023-08-19,1.824382e-05,2.6080705e-05,1.9926207e-05,9.95213e-06
2023-08-20,2.2461043e-05,1.824382e-05,2.6080705e-05,1.9926207e-05
2023-08-25,2.3923036e-05,3.693821e-05,9.474766e-06,1.8957944e-05
2023-08-26,1.638805e-05,2.3923036e-05,3.693821e-05,9.474766e-06
2023-08-27,1.9356212e-05,1.638805e-05,2.3923036e-05,3.693821e-05
2023-08-28,2.0825191e-05,1.9356212e-05,1.638805e-05,2.3923036e-05
2023-08-29,2.536684e-05,2.0825191e-05,1.9356212e-05,1.638805e-05
2023-08-30,1.0949804e-05,2.536684e-05,2.0825191e-05,1.9356212e-05
2023-08-31,2.4469831e-05,1.0949804e-05,2.536684e-05,2.0825191e-05
2023-09-01,8.699277e-06,2.4469831e-05,1.0949804e-05,2.536684e-05
2023-09-02,1.6198266e-05,8.699277e-06,2.4469831e-05,1.0949804e-05
2023-09-03,2.1576228e-05,1.6198266e-05,8.699277e-06,2.4469831e-05
2023-09-04,1.23892105e-05,2.1576228e-05,1.6198266e-05,8.699277e-06
